idx	tokens	gold_pos	isUppercase	ADJ	ADV	INTJ	N	PROPN	VTr	VInt	V	DET	NUM	PRON	PRON.Dem	PRON.Prs	PRON.Refl	CCONJ	ADP	UNK
0	I	CCONJ	True	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
1	'	PUNCT	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	pishtaku	N	False	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
3	'	PUNCT	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	niyarqanmi	VTr	False	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
5	.	PUNCT	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	Tsaymi	PRON	True	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
1	mantsayarqaa	VTr	False	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
2	.	PUNCT	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	Wayiichaw	N	True	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
1	kaykaptiimi	AUX	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	,	PUNCT	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	wiyarqaa	VTr	False	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
4	warmikuna	N	False	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
5	qapariqta	VInt	False	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
6	.	PUNCT	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	Rikaykaayaanaq	VTr	True	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
1	.	PUNCT	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	I	CCONJ	True	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
1	nuqapis	PRON.Prs	False	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
