	idx	tokens	gold_pos	isUppercase	ADJ	ADV	INTJ	N	PROPN	VTr	VInt	V	DET	NUM	PRON	PRON.Dem	PRON.Prs	PRON.Refl	CCONJ	ADP	UNK
0	0	“	PUNCT	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	Aywayashqaatapis	VTr	True	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
2	2	pesakuyaami	V	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
3	3	“	PUNCT	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	4	,	PUNCT	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	5	niyaanaq	VTr	False	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
6	6	.	PUNCT	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	0	Despwes	ADV	True	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	1	almorsarikurnam	VInt	False	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
9	2	,	PUNCT	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	3	padre	N	False	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
11	4	Guillermuwan	PROPN	True	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
12	5	wiyarayarqaa	VTr	False	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
13	6	radyuchaw	N	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
14	7	Mehikuchaw	PROPN	True	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
15	8	pukllaqkunata	N	False	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
16	9	.	PUNCT	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	0	Tsaynash	PRON	True	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
18	1	rogarqunaq	V	False	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
19	2	Felipeqa	PROPN	True	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
20	3	kabutaqa	N	False	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21	4	,	PUNCT	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22	5	“	PUNCT	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23	6	Señor	N	True	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
24	7	,	PUNCT	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	8	ama	ADV	False	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26	9	karselmanqa	N	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
27	10	pasatsimaytsu	VInt	False	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
28	11	.	PUNCT	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29	0	Tsaynam	PRON	True	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
30	1	patsa	N	False	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
31	2	ampiiriptin	VInt	False	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
