I 'pishtaku' niyarqanmi.	[['i[CCONJ]'], ['pishtaku[N]'], ['ni[VTr]+yaA[Pl]+rqa[Pst]+n[3]+mi[Asrt]']]	[[('I', 'i')], [('pishtaku', 'pishtaku')], [('ni', 'ni'), ('ya', 'yaA'), ('rqa', 'rqa'), ('n', 'n'), ('mi', 'mi')]]	[['I'], ['pishtaku'], ['ni', 'ya', 'rqa', 'n', 'mi']]
Tsaymi mantsayarqaa.	[['tsay[PRON]+mi[Asrt]'], ['mantsa[VTr]+yaA[Pl]+rqa[Pst]+ː[1]']]	[[('Tsay', 'tsay'), ('mi', 'mi')], [('mantsa', 'mantsa'), ('ya', 'yaA'), ('rqa', 'rqa'), ('a', 'ː')]]	[['Tsay', 'mi'], ['mantsa', 'ya', 'rqa', 'a']]
Wayiichaw kaykaptiimi, wiyarqaa warmikuna qapariqta.	[['wayi[N]+ː[Poss.1Sg]+chaw[Loc]'], ['ka[AUX]+YkaA[Prog]+pti[Cnv](N)+ː[Poss.1Sg]+mi[Asrt]'], ['wiya[VTr]+rqa[Pst]+ː[1]'], ['warmi[N]+kuna[Pl]'], ['qapari[VInt]+q[Agt]+ta[Obj]']]	[[('Wayi', 'wayi'), ('i', 'ː'), ('chaw', 'chaw')], [('ka', 'ka'), ('yka', 'YkaA'), ('pti', 'pti'), ('i', 'ː'), ('mi', 'mi')], [('wiya', 'wiya'), ('rqa', 'rqa'), ('a', 'ː')], [('warmi', 'warmi'), ('kuna', 'kuna')], [('qapari', 'qapari'), ('q', 'q'), ('ta', 'ta')]]	[['Wayi', 'i', 'chaw'], ['ka', 'yka', 'pti', 'i', 'mi'], ['wiya', 'rqa', 'a'], ['warmi', 'kuna'], ['qapari', 'q', 'ta']]
Rikaykaayaanaq.	[['rikaa[VTr]+YkaA[Prog]+yaA[Pl]+naq[Rpst]']]	[[('rika', 'rikaa'), ('ykaa', 'YkaA'), ('yaa', 'yaA'), ('naq', 'naq')]]	[['rika', 'ykaa', 'yaa', 'naq']]
I nuqapis qawarpurqaa.	[['i[CCONJ]'], ['nuqa[PRON.Prs]+pis[Coord]'], ['qawa[VTr]+rpU[DirDown]+rqa[Pst]+ː[1]']]	[[('I', 'i')], [('nuqa', 'nuqa'), ('pis', 'pis')], [('qawa', 'qawa'), ('rpu', 'rpU'), ('rqa', 'rqa'), ('a', 'ː')]]	[['I'], ['nuqa', 'pis'], ['qawa', 'rpu', 'rqa', 'a']]
Siqsiqpampa chakintana tumaramunaq atska putka yaku.	[['siqsiqpampa[PROPN]'], ['chaki[N]+n[Poss.3]+ta[Obj]+na[Acp]'], ['tuma[VTr]+rI[Pct]+mu[Cis]+naq[Rpst]'], ['atska[ADV]'], ['putka[ADJ]'], ['yaku[N]']]	[[('Siqsiqpampa', 'siqsiqpampa')], [('chaki', 'chaki'), ('n', 'n'), ('ta', 'ta'), ('na', 'na')], [('tuma', 'tuma'), ('ra', 'rI'), ('mu', 'mu'), ('naq', 'naq')], [('atska', 'atska')], [('putka', 'putka')], [('yaku', 'yaku')]]	[['Siqsiqpampa'], ['chaki', 'n', 'ta', 'na'], ['tuma', 'ra', 'mu', 'naq'], ['atska'], ['putka'], ['yaku']]
Imatam paniitapis tarishaq?”	[['ima[PRON]+ta[Obj]+mi[Asrt]'], ['pani[N]+ː[Poss.1Sg]+ta[Obj]+pis[Coord]'], ['tari[VTr]+shaq[Fut.1]']]	[[('Ima', 'ima'), ('ta', 'ta'), ('m', 'mi')], [('pani', 'pani'), ('i', 'ː'), ('ta', 'ta'), ('pis', 'pis')], [('tari', 'tari'), ('shaq', 'shaq')]]	[['Ima', 'ta', 'm'], ['pani', 'i', 'ta', 'pis'], ['tari', 'shaq']]
Nirninmi aywayarqaa.	[['ni[VTr]+r[Cnv](N)+n[Poss.3]+mi[Asrt]'], ['aywa[VTr]+yaA[Pl]+rqa[Pst]+ː[1]']]	[[('Ni', 'ni'), ('r', 'r'), ('ni', 0), ('n', 'n'), ('mi', 'mi')], [('aywa', 'aywa'), ('ya', 'yaA'), ('rqa', 'rqa'), ('a', 'ː')]]	[['Ni', 'r', 'ni', 'n', 'mi'], ['aywa', 'ya', 'rqa', 'a']]
Tsaymi nuqapis aywarqaa i manam ayataqa tariyarqaatsu.	[['tsay[PRON]+mi[Asrt]'], ['nuqa[PRON.Prs]+pis[Coord]'], ['aywa[VTr]+rqa[Pst]+ː[1]'], ['i[CCONJ]'], ['mana[ADV]+mi[Asrt]'], ['aya[N]+ta[Obj]+qa[Top]'], ['tari[VTr]+yaA[Pl]+rqa[Pst]+ː[1]+tsu[Neg]']]	[[('Tsay', 'tsay'), ('mi', 'mi')], [('nuqa', 'nuqa'), ('pis', 'pis')], [('aywa', 'aywa'), ('rqa', 'rqa'), ('a', 'ː')], [('i', 'i')], [('mana', 'mana'), ('m', 'mi')], [('aya', 'aya'), ('ta', 'ta'), ('qa', 'qa')], [('tari', 'tari'), ('ya', 'yaA'), ('rqa', 'rqa'), ('a', 'ː'), ('tsu', 'tsu')]]	[['Tsay', 'mi'], ['nuqa', 'pis'], ['aywa', 'rqa', 'a'], ['i'], ['mana', 'm'], ['aya', 'ta', 'qa'], ['tari', 'ya', 'rqa', 'a', 'tsu']]
Qirukunallam llutaypa karqan i shumaq shumaq shukshukunam karqan.	[['qiru[N]+kuna[Pl]+lla[Lim]+mi[Asrt]'], ['llutaypa[ADV]'], ['ka[AUX]+rqa[Pst]+n[3]'], ['i[CCONJ]'], ['shumaq[ADJ]'], ['shumaq[ADJ]'], ['shukshu[N]+kuna[Pl]+mi[Asrt]'], ['ka[AUX]+rqa[Pst]+n[3]']]	[[('Qiru', 'qiru'), ('kuna', 'kuna'), ('lla', 'lla'), ('m', 'mi')], [('llutaypa', 'llutaypa')], [('ka', 'ka'), ('rqa', 'rqa'), ('n', 'n')], [('i', 'i')], [('shumaq', 'shumaq')], [('shumaq', 'shumaq')], [('shukshu', 'shukshu'), ('kuna', 'kuna'), ('m', 'mi')], [('ka', 'ka'), ('rqa', 'rqa'), ('n', 'n')]]	[['Qiru', 'kuna', 'lla', 'm'], ['llutaypa'], ['ka', 'rqa', 'n'], ['i'], ['shumaq'], ['shumaq'], ['shukshu', 'kuna', 'm'], ['ka', 'rqa', 'n']]
