Manam qunqayaqtsu imaypis.	No lo olvidaban nunca.	AKH-048	[['mana[ADV]+mi[Asrt]'], ['qunqa[VTr]+yaA[VPl]+q[Hab]+tsu[Neg]'], ['imay[PRON]+pis(Pron.Indef)']]	[[('Mana', 'mana'), ('m', 'mi')], [('qunqa', 'qunqa'), ('ya', 'yaA'), ('q', 'q'), ('tsu', 'tsu')], [('imaypis', 'imaypis')]]	[['mana[ADV]+mi[Asrt]'], ['qunqa[VTr]+yaA[VPl]+q[Agt]+tsu[Neg]', 'qu[VTr]+nqa[Sub](N)+yaq[Ter]+tsu[Neg]', 'qunqa[VTr]+yaA[VPl]+q[Hab]+tsu[Neg]', 'qunqa[VTr]+yaA[VPl]+q[1.Sbj][2.Obj]+tsu[Neg]'], ['imay[PRON]+pis(Pron.Indef)']]
Tsaypitaqa mana mantsakushpa hatun Apukuna wayinchaw ashirnash qallakuykuyaanaq; nawpa Chawin Apukunapa wayintapis huchur qallayaanaqshi.	Porque inmediatamente, sin guardar respeto a los dioses habían comenzado a llevarse el oro y la plata de los templos; hasta habían comenzado a destruir el templo de los antiguos dioses Chavín;	AKH-063	[['tsay[PRON]+pita[Abl]+qa[Top]'], ['mana[ADV]'], ['mantsa[VTr]+kU[Refl/Mid]+shpa[Grd]'], ['hatun[ADJ]'], ['apu[N]+kuna[Pl]'], ['wayi[N]+n[Poss.3]+chaw[Loc]'], ['ashi[VTr]+r[Cnv](N)+na[Acp]+shi[Nfh]'], ['qalla[VTr]+kU[Refl/Mid]+yku[Intens]+yaA[VPl]+naq[Rpst]'], ['nawpa[N]'], ['chawin[PROPN]'], ['apu[N]+kuna[Pl]+pa[Gen]'], ['wayi[N]+n[Poss.3]+ta[Obj]+pis[Coord]'], ['huchu[VInt]+r[Cnv](N)'], ['qalla[VTr]+yaA[VPl]+naq[Rpst]+shi[Nfh]']]	[[('Tsay', 'tsay'), ('pita', 'pita'), ('qa', 'qa')], [('mana', 'mana')], [('mantsa', 'mantsa'), ('ku', 'kU'), ('shpa', 'shpa')], [('hatun', 'hatun')], [('Apu', 'apu'), ('kuna', 'kuna')], [('wayi', 'wayi'), ('n', 'n'), ('chaw', 'chaw')], [('ashi', 'ashi'), ('r', 'r'), ('na', 'na'), ('sh', 'shi')], [('qalla', 'qalla'), ('ku', 'kU'), ('yku', 'yku'), ('yaa', 'yaA'), ('naq', 'naq')], [('nawpa', 'nawpa')], [('Chawin', 'chawin')], [('Apu', 'apu'), ('kuna', 'kuna'), ('pa', 'pa')], [('wayi', 'wayi'), ('n', 'n'), ('ta', 'ta'), ('pis', 'pis')], [('huchu', 'huchu'), ('r', 'r')], [('qalla', 'qalla'), ('yaa', 'yaA'), ('naq', 'naq'), ('shi', 'shi')]]	[['tsay[PRON]+pita[Abl](ADV)+qa[Top]', 'tsay[PRON]+pita[Abl]+qa[Top]'], ['mana[INTJ]', 'mana[ADV]'], ['mantsa[VTr]+kU[Refl/Mid]+shpa[Grd]'], ['hatun[ADJ]'], ['apu[N]+kuna[Pl]'], ['wayi[N]+n[Poss.3]+chaw[Loc]'], ['ashi[VTr]+r[Cnv](N)+na[Acp]+shi[Nfh]'], ['qalla[VTr]+kU[Refl/Mid]+yku[Intens]+yaA[VPl]+naq[Rpst]'], ['nawpa[N]'], ['chawi[N]+n[Poss.3]', 'chawi[V]+n[3]'], ['apu[N]+kuna[Pl]+pa[Gen]', 'apu[N]+kuna[Pl]+pa[Prol]', 'apu[N]+kuna[Pl]+pa[Man]'], ['wayi[N]+n[Poss.3]+ta[Obj]+pis[Coord]'], ['huchu[VInt]+r[Cnv](N)'], ['qalla[VTr]+yaA[VPl]+naq[Rpst]+shi[Nfh]']]
Tsaynaw nirirnam huk wamrata tsariykur ruquriyta munarqan.	Cogiendo a uno intentó hacerlo.	AKH-076	[['tsay[PRON]+naw[Equ]'], ['ni[VTr]+rI[Pct]+r[Cnv](N)+na[Acp]+mi[Asrt]'], ['huk[DET]'], ['wamra[N]+ta[Obj]'], ['tsari[VTr]+yku[Intens]+r[Cnv](N)'], ['ruqu[VTr]+rI[Pct]+y[Inf]+ta[Obj]'], ['muna[VTr]+rqa[Pst]+n[3]']]	[[('Tsay', 'tsay'), ('naw', 'naw')], [('ni', 'ni'), ('ri', 'rI'), ('r', 'r'), ('na', 'na'), ('m', 'mi')], [('huk', 'huk')], [('wamra', 'wamra'), ('ta', 'ta')], [('tsari', 'tsari'), ('yku', 'yku'), ('r', 'r')], [('ruqu', 'ruqu'), ('ri', 'rI'), ('y', 'y'), ('ta', 'ta')], [('muna', 'muna'), ('rqa', 'rqa'), ('n', 'n')]]	[['tsaynaw[ADV]', 'tsay[PRON]+naw[Equ]'], ['ni[VTr]+rI[Pct]+r[Cnv](N)+na[Acp]+mi[Asrt]'], ['huk[NUM.Card]', 'huk[DET]', 'huk[PRON]'], ['wamra[N]+ta[Obj]'], ['tsari[VTr]+yku[Intens]+r[Cnv](N)'], ['ruqu[VTr]+rI[Pct]+y[Inf]+ta[Obj]'], ['muna[VTr]+rqa[Pst]+n[3]']]
Tayta Amarunawmi kayan, niyaqmi mantsakashqa runakuna.	Como el tayta Amaru son esos toros, decían temerosos los runas.	AKH-099	[['tayta[N]'], ['amaru[PROPN]+naw[Equ]+mi[Asrt]'], ['ka[AUX]+yaA[VPl]+n[3]', 'kaya[VTr]+n[3]'], ['ni[VTr]+yaA[VPl]+q[Hab]+mi[Asrt]'], ['mantsakaa[VInt]+shqa[Prf](N)'], ['runa[N]+kuna[Pl]']]	[[('Tayta', 'tayta')], [('Amaru', 'amaru'), ('naw', 'naw'), ('mi', 'mi')], [('ka', 'ka'), ('ya', 'yaA'), ('n', 'n')], [('ni', 'ni'), ('ya', 'yaA'), ('q', 'q'), ('mi', 'mi')], [('mantsaka', 'mantsakaa'), ('shqa', 'shqa')], [('runa', 'runa'), ('kuna', 'kuna')]]	[['tayta[N]'], ['amaru[PROPN]+naw[Equ]+mi[Asrt]'], ['kaya[VTr]+n[3]', 'ka[AUX]+yaA[VPl]+n[3]'], ['ni[VTr]+yaA[VPl]+q[Hab]+mi[Asrt]', 'ni[VTr]+yaA[VPl]+q[1.Sbj][2.Obj]+mi[Asrt]', 'ni[VTr]+yaA[VPl]+q[Agt]+mi[Asrt]'], ['mantsakaa[VInt]+shqa[Prf](N)', 'mantsa[VTr]+kaA[Pass]+shqa[Prf](N)'], ['runa[N]+kuna[Pl]']]
Apariq mitaqkuna, waskakunawan, qaratsa pikshakunawan apayaq rumi rumintin qillayniita, españakunapa mulinunkunaman, hornunkunaman, hatun wayi ingeniu nishqan kutakancha urannin Tampu mayu kunchunkama.	Los mitayos apires o cargadores, con sus sogas y capachos de cuero cargaban el mineral hasta los molinos y hornos del ingenio, más abajo de Cuta Cancha junto al río Tampu.	AKH-119	[['apa[VTr]+rI[Pct]+q[Agt]'], ['mitaq[N]+kuna[Pl]'], ['waska[N]+kuna[Pl]+wan[Com]'], ['qaratsa[N]'], ['piksha[N]+kuna[Pl]+wan[Com]'], ['apa[VTr]+yaA[VPl]+q[Hab]'], ['rumi[N]'], ['rumi[N]+ntin[Tot]'], ['qillay[N]+ː[Poss.1Sg]+ta[Obj]'], ['españakuna[N]+pa[Gen]'], ['mulinu[N]+n[Poss.3]+kuna[Pl]+man[Dat]'], ['hornu[N]+n[Poss.3]+kuna[Pl]+man[Dat]'], ['hatun[ADJ]'], ['wayi[N]'], ['ingeniu[N]'], ['ni[VTr]+shqa[Prf](N)+n[Poss.3]'], ['kutakancha[PROPN]'], ['uran[N]+n[Poss.3]'], ['tampu[PROPN]'], ['mayu[N]'], ['kunchu[N]+n[Poss.3]+kama[Ter]']]	[[('Apa', 'apa'), ('ri', 'rI'), ('q', 'q')], [('mitaq', 'mitaq'), ('kuna', 'kuna')], [('waska', 'waska'), ('kuna', 'kuna'), ('wan', 'wan')], [('qaratsa', 'qaratsa')], [('piksha', 'piksha'), ('kuna', 'kuna'), ('wan', 'wan')], [('apa', 'apa'), ('ya', 'yaA'), ('q', 'q')], [('rumi', 'rumi')], [('rumi', 'rumi'), ('ntin', 'ntin')], [('qillay', 'qillay'), ('ni', 0), ('i', 'ː'), ('ta', 'ta')], [('españakuna', 'españakuna'), ('pa', 'pa')], [('mulinu', 'mulinu'), ('n', 'n'), ('kuna', 'kuna'), ('man', 'man')], [('hornu', 'hornu'), ('n', 'n'), ('kuna', 'kuna'), ('man', 'man')], [('hatun', 'hatun')], [('wayi', 'wayi')], [('ingeniu', 'ingeniu')], [('ni', 'ni'), ('shqa', 'shqa'), ('n', 'n')], [('kutakancha', 'kutakancha')], [('uran', 'uran'), ('ni', 0), ('n', 'n')], [('Tampu', 'tampu')], [('mayu', 'mayu')], [('kunchu', 'kunchu'), ('n', 'n'), ('kama', 'kama')]]	[['apa[VTr]+rI[Pct]+q[Agt]', 'apa[VTr]+rI[Pct]+q[1.Sbj][2.Obj]', 'apari[VTr]+q[Hab]', 'apari[VTr]+q[Agt]', 'apa[VTr]+rI[Pct]+q[Hab]', 'apari[VTr]+q[1.Sbj][2.Obj]'], ['mita[V]+q[Agt]+kuna[Pl]'], ['waska[N]+kuna[Pl]+wan[Com]'], ['qaratsa[N]'], ['piksha[N]+kuna[Pl]+wan[Com]'], ['apa[VTr]+yaA[VPl]+q[Hab]', 'apa[VTr]+yaA[VPl]+q[Agt]', 'apa[VTr]+yaA[VPl]+q[1.Sbj][2.Obj]'], ['rumi[N]'], ['rumi[N]+ntin[Tot]'], ['qillay[N]+ː[Poss.1Sg]+ta[Obj]'], ['españakunapa[UNK]'], ['mulinu[N]+n[Poss.3]+kuna[Pl]+man[Dat]'], ['hornu[N]+n[Poss.3]+kuna[Pl]+man[Dat]'], ['hatun[ADJ]'], ['wayi[N]'], ['ingeniu[UNK]'], ['ni[VTr]+shqa[Prf](N)+n[Poss.3]'], ['kutakancha[UNK]'], ['urannin[UNK]'], ['tampu[UNK]'], ['mayu[N]'], ['kunchunkama[UNK]']]
Awkinkuna niyaqta wiyaq kaami: “Imanaw kanqanpis musyakuynatsu; españakunam banderanta markaakunaman churarayaamun, tsayta hitakacharkurnam patriotakuna hina banderanta hawiyaraamun; niykurqa mosu runaakunata apakuyan ejercitunpaq ishkanpis.	Les escuchaba decir a sus ancianos: “No entendemos bien lo que pasa: los españoles colocan su bandera en nuestro pueblo, los criollos lo arrojan y colocan el suyo; por otra parte ambos se llevan a nuestros jóvenes para su ejército.	AKH-192	[['awkin[N]+kuna[Pl]'], ['ni[VTr]+yaA[VPl]+q[Agt]+ta[Obj]'], ['wiya[VTr]+q[Hab]'], ['ka[AUX]+ː[1]+mi[Asrt]'], ['imanaw[ADV]'], ['ka[AUX]+nqa[Sub](N)+n[Poss.3]+pis[Coord]'], ['musya[VTr]+kU[Refl/Mid]+y[Inf]+na[Acp]+tsu[Neg]'], ['españakuna[N]+mi[Asrt]'], ['bandera[N]+n[Poss.3]+ta[Obj]'], ['marka[N]+ːkuna[Poss.1Pl.Excl]+man[Dat]'], ['chura[VTr]+rI[Pct]+yaA[VPl]+mu[Cis]+n[3]'], ['tsay[PRON.Dem]+ta[Obj]'], ['hita[VTr]+kachaA[Iter]+rku[Edu]+r[Cnv](N)+na[Acp]+mi[Asrt]'], ['patriota[N]+kuna[Pl]'], ['hina[ADV]'], ['bandera[N]+n[Poss.3]+ta[Obj]'], ['hawi[N]+yaA[VPl]+raA[Dur]+mu[Cis]+n[3]'], ['ni[VTr]+yku[Intens]+r[Cnv](N)+qa[Top]'], ['mosu[N]'], ['runa[N]+ːkuna[Poss.1Pl.Excl]+ta[Obj]'], ['apa[VTr]+kU[Refl/Mid]+yaA[VPl]+n[3]'], ['ejercitu[N]+n[Poss.3]+paq[Ben]'], ['ishka[NUM]+n[Poss.3](Pron.Sets)+pis[Coord]']]	[[('Awkin', 'awkin'), ('kuna', 'kuna')], [('ni', 'ni'), ('ya', 'yaA'), ('q', 'q'), ('ta', 'ta')], [('wiya', 'wiya'), ('q', 'q')], [('ka', 'ka'), ('a', 'ː'), ('mi', 'mi')], [('Imanaw', 'imanaw')], [('ka', 'ka'), ('nqa', 'nqa'), ('n', 'n'), ('pis', 'pis')], [('musya', 'musya'), ('ku', 'kU'), ('y', 'y'), ('na', 'na'), ('tsu', 'tsu')], [('españakuna', 'españakuna'), ('m', 'mi')], [('bandera', 'bandera'), ('n', 'n'), ('ta', 'ta')], [('marka', 'marka'), ('akuna', 'ːkuna'), ('man', 'man')], [('chura', 'chura'), ('ra', 'rI'), ('yaa', 'yaA'), ('mu', 'mu'), ('n', 'n')], [('tsay', 'tsay'), ('ta', 'ta')], [('hita', 'hita'), ('kacha', 'kachaA'), ('rku', 'rku'), ('r', 'r'), ('na', 'na'), ('m', 'mi')], [('patriota', 'patriota'), ('kuna', 'kuna')], [('hina', 'hina')], [('bandera', 'bandera'), ('n', 'n'), ('ta', 'ta')], [('hawi', 'hawi'), ('ya', 'yaA'), ('raa', 'raA'), ('mu', 'mu'), ('n', 'n')], [('ni', 'ni'), ('yku', 'yku'), ('r', 'r'), ('qa', 'qa')], [('mosu', 'mosu')], [('runa', 'runa'), ('akuna', 'ːkuna'), ('ta', 'ta')], [('apa', 'apa'), ('ku', 'kU'), ('ya', 'yaA'), ('n', 'n')], [('ejercitu', 'ejercitu'), ('n', 'n'), ('paq', 'paq')], [('ishka', 'ishka'), ('n', 'n'), ('pis', 'pis')]]	[['awkin[N]+kuna[Pl]'], ['ni[VTr]+yaA[VPl]+q[Agt]+ta[Obj]'], ['wiya[VTr]+q[1.Sbj][2.Obj]', 'wiya[VTr]+q[Hab]', 'wiya[VTr]+q[Agt]'], ['ka[AUX]+ː[1]+mi[Asrt]'], ['imanaw[ADV]'], ['kanqan[ADV]+pis[Coord]', 'ka[AUX]+nqa[Sub](N)+n[Poss.3]+pis[Coord]'], ['musya[VTr]+kU[Refl/Mid]+y[Imp.2]+na[Acp]+tsu[Neg]', 'musya[VTr]+kU[Refl/Mid]+y[Inf]+na[Acp]+tsu[Neg]'], ['españakunam[UNK]'], ['banderanta[UNK]'], ['markaaku[VTr]+naA[Prosp]+maA[1.Obj]+n[3]', 'markaaku[VTr]+na[Pot](N)+man[Dat]', 'marka[N]+ː[Poss.1Sg]+kuna[Pl]+man[Dat]', 'marka[N]+ːkuna[Poss.1Pl.Excl]+man[Dat]'], ['chura[VTr]+rI[Pct]+yaA[VPl]+mu[Cis]+n[3]'], ['tsay[PRON]+ta[Obj]', 'tsay[PRON.Dem]+ta[Obj]'], ['hita[VTr]+kachaA[Iter]+rku[Edu]+r[Cnv](N)+na[Acp]+mi[Asrt]'], ['patriotakuna[UNK]'], ['hina[ADV]', 'hina[N]'], ['banderanta[UNK]'], ['hawi[N]+yaA[Transf](VInt)+raA[Dur]+mu[Cis]+n[3]'], ['ni[VTr]+yku[Intens]+rqa[Pst][3]', 'ni[VTr]+yku[Intens]+r[Cnv](N)+qa[Top]'], ['mosu[UNK]'], ['runa[N]+ː[Poss.1Sg]+kuna[Pl]+ta[Obj]', 'runa[N]+ːkuna[Poss.1Pl.Excl]+ta[Obj]'], ['apa[VTr]+kU[Refl/Mid]+yaA[VPl]+n[3]'], ['ejercitu[N]+n[Poss.3]+paq[Ben]'], ['ishka[VInt]+n[3]+pis[Coord]', 'ishka[N]+n[Poss.3]+pis[Coord]', 'ishka[NUM]+n[Poss.3](Pron.Sets)+pis[Coord]']]
Limapis patriotakunapa makinchawnam.	También Lima ya está en manos de los patriotas.	AKH-199	[['lima[PROPN]+pis[Coord]'], ['patriota[N]+kuna[Pl]+pa[Gen]'], ['maki[N]+n[Poss.3]+chaw[Loc]+na[Acp]+mi[Asrt]']]	[[('Lima', 'lima'), ('pis', 'pis')], [('patriota', 'patriota'), ('kuna', 'kuna'), ('pa', 'pa')], [('maki', 'maki'), ('n', 'n'), ('chaw', 'chaw'), ('na', 'na'), ('m', 'mi')]]	[['lima[N]+pis[Coord]', 'lima[PROPN]+pis[Coord]'], ['patriotakunapa[UNK]'], ['maki[N]+n[Poss.3]+chaw[Loc]+na[Acp]+mi[Asrt]']]
Kuta Kancha uraychawnam churayarqan planta concentradora nishqanta, Tampu Mayupa yakunta apaykurnin.	y más abajo, junto a las chacras de los cutacanchinos instalaron una concentradora que decían aprovechando las aguas del río Tampu para su molino.	AKH-218	[['kuta[PROPN]'], ['kancha[PROPN]'], ['uray[N]+chaw[Loc]+na[Acp]+mi[Asrt]'], ['chura[VTr]+yaA[VPl]+rqa[Pst]+n[3]'], ['planta[N]'], ['concentradora[N]'], ['ni[VTr]+shqa[Prf](N)+n[Poss.3]+ta[Obj]'], ['tampu[N]'], ['mayu[N]+pa[Gen]'], ['yaku[N]+n[Poss.3]+ta[Obj]'], ['apa[VTr]+yku[Intens]+r[Cnv](N)+n[Poss.3]']]	[[('Kuta', 'kuta')], [('Kancha', 'kancha')], [('uray', 'uray'), ('chaw', 'chaw'), ('na', 'na'), ('m', 'mi')], [('chura', 'chura'), ('ya', 'yaA'), ('rqa', 'rqa'), ('n', 'n')], [('planta', 'planta')], [('concentradora', 'concentradora')], [('ni', 'ni'), ('shqa', 'shqa'), ('n', 'n'), ('ta', 'ta')], [('Tampu', 'tampu')], [('Mayu', 'mayu'), ('pa', 'pa')], [('yaku', 'yaku'), ('n', 'n'), ('ta', 'ta')], [('apa', 'apa'), ('yku', 'yku'), ('r', 'r'), ('ni', 0), ('n', 'n')]]	[['kuta[N]'], ['kancha[N]'], ['uraa[VInt]+y[Inf]+chaw[Loc]+na[Acp]+mi[Asrt]', 'uray[N]+chaw[Loc]+na[Acp]+mi[Asrt]'], ['chura[VTr]+yaA[VPl]+rqa[Pst]+n[3]'], ['planta[N]'], ['concentradora[UNK]'], ['ni[VTr]+shqa[Prf](N)+n[Poss.3]+ta[Obj]'], ['tampu[UNK]'], ['mayu[N]+pa[Prol]', 'mayu[N]+pa[Man]', 'mayu[N]+pa[Gen]'], ['yaku[N]+n[Poss.3]+ta[Obj]'], ['apa[VTr]+yku[Intens]+r[Cnv](N)+n[Poss.3]']]
Isqun killanaw huelgawan llakiriryan, mallaqaariryan tsarakuykayaptinmi yurikarayaamurqan pukaypa pukaq, rawraq aqtsashqa runakuna, gringukuna.	Durante más de nueve meses cuando seguían resistiendo con temores y hambre, aparecieron hombres medio colorados, rubios, gringos.	AKH-279	[['isqun[NUM.Card]'], ['killa[N]+naw[Equ]'], ['huelga[N]+wan[Com]'], ['llaki[VTr]+rI[Pct]+r[Cnv](N)+yan[Dist]'], ['mallaqaa[VInt]+rI[Pct]+r[Cnv](N)+yan[Dist]'], ['tsara[VTr]+kU[Refl/Mid]+YkaA[Prog]+yaA[VPl]+pti[Cnv](N)+n[Poss.3]+mi[Asrt]'], ['yuri[VInt]+kU[Refl/Mid]+rI[Pct]+yaA[VPl]+mu[Cis]+rqa[Pst]+n[3]'], ['puka[VInt]+y[Inf]+pa[Man](ADV)'], ['puka[VInt]+q[Agt]'], ['rawra[VInt]+q[Agt]'], ['aqtsashqa[ADJ]'], ['runa[N]+kuna[Pl]'], ['gringu[N]+kuna[Pl]']]	[[('Isqun', 'isqun')], [('killa', 'killa'), ('naw', 'naw')], [('huelga', 'huelga'), ('wan', 'wan')], [('llaki', 'llaki'), ('ri', 'rI'), ('r', 'r'), ('yan', 'yan')], [('mallaqaa', 'mallaqaa'), ('ri', 'rI'), ('r', 'r'), ('yan', 'yan')], [('tsara', 'tsara'), ('ku', 'kU'), ('yka', 'YkaA'), ('ya', 'yaA'), ('pti', 'pti'), ('n', 'n'), ('mi', 'mi')], [('yuri', 'yuri'), ('ka', 'kU'), ('ra', 'rI'), ('yaa', 'yaA'), ('mu', 'mu'), ('rqa', 'rqa'), ('n', 'n')], [('puka', 'puka'), ('y', 'y'), ('pa', 'pa')], [('puka', 'puka'), ('q', 'q')], [('rawra', 'rawra'), ('q', 'q')], [('aqtsashqa', 'aqtsashqa')], [('runa', 'runa'), ('kuna', 'kuna')], [('gringu', 'gringu'), ('kuna', 'kuna')]]	[['isqun[NUM.Card]'], ['killa[N]+naw[Equ]'], ['huelgawan[UNK]'], ['llaki[VTr]+rI[Pct]+r[Cnv](N)+yan[Dist]'], ['mallaqaa[VInt]+rI[Pct]+r[Cnv](N)+yan[Dist]'], ['tsara[VTr]+kU[Refl/Mid]+YkaA[Prog]+yaA[VPl]+pti[Cnv](N)+n[Poss.3]+mi[Asrt]'], ['yuri[VInt]+kaA[Pass]+rI[Pct]+yaA[VPl]+mu[Cis]+rqa[Pst]+n[3]', 'yuri[VInt]+kU[Refl/Mid]+rI[Pct]+yaA[VPl]+mu[Cis]+rqa[Pst]+n[3]'], ['puka[VInt]+y[Inf]+pa[Man]', 'puka[VInt]+y[Inf]+pa[Man](ADV)', 'puka[VInt]+y[Inf]+pa[Prol]', 'puka[VInt]+y[Inf]+pa[Gen]'], ['puka[VInt]+q[1.Sbj][2.Obj]', 'puka[VInt]+q[Hab]', 'puka[VInt]+q[Agt]'], ['rawra[VInt]+q[1.Sbj][2.Obj]', 'rawra[VInt]+q[Hab]', 'rawra[VInt]+q[Agt]'], ['aqtsashqa[UNK]'], ['runa[N]+kuna[Pl]'], ['gringu[N]+kuna[Pl]']]
Tsaymanpaqqa allinawmi tsay gringukuna qallaykuyarqan; dirigentikuna maakuqllam kaykaashun imatapis hananman mañakunapaq, niyaqmi.	En tal sentido empezaban bien esos gringos.	AKH-287	[['tsaymanpaq[ADV]+qa[Top]'], ['allinaw[ADV]+mi[Asrt]'], ['tsay[DET]'], ['gringu[N]+kuna[Pl]'], ['qalla[VTr]+yku[Intens]+yaA[VPl]+rqa[Pst]+n[3]'], ['dirigenti[N]+kuna[Pl]'], ['maaku[VTr]+q[Agt]+lla[Lim]+mi[Asrt]'], ['ka[AUX]+YkaA[Prog]+shun[Fut][1Pl.Inc]'], ['ima[PRON]+ta[Obj]+pis(Pron.Indef)'], ['hana[N]+n[Poss.3]+man[Dat]'], ['maña[VTr]+kU[Refl/Mid]+na[Pot](N)+paq[Ben]'], ['ni[VTr]+yaA[VPl]+q[Hab]+mi[Asrt]']]	[[('Tsaymanpaq', 'tsaymanpaq'), ('qa', 'qa')], [('allinaw', 'allinaw'), ('mi', 'mi')], [('tsay', 'tsay')], [('gringu', 'gringu'), ('kuna', 'kuna')], [('qalla', 'qalla'), ('yku', 'yku'), ('ya', 'yaA'), ('rqa', 'rqa'), ('n', 'n')], [('dirigenti', 'dirigenti'), ('kuna', 'kuna')], [('maaku', 'maaku'), ('q', 'q'), ('lla', 'lla'), ('m', 'mi')], [('ka', 'ka'), ('ykaa', 'YkaA'), ('shun', 'shun')], [('ima', 'ima'), ('ta', 'ta'), ('pis', 'pis')], [('hana', 'hana'), ('n', 'n'), ('man', 'man')], [('maña', 'maña'), ('ku', 'kU'), ('na', 'na'), ('paq', 'paq')], [('ni', 'ni'), ('ya', 'yaA'), ('q', 'q'), ('mi', 'mi')]]	[['tsaymanpaqqa[UNK]'], ['alli[ADV]+naw[Equ]+mi[Asrt]'], ['tsay[DET]', 'tsay[PRON]'], ['gringu[N]+kuna[Pl]'], ['qalla[VTr]+yku[Intens]+yaA[VPl]+rqa[Pst]+n[3]'], ['dirigentikuna[UNK]'], ['maaku[VTr]+q[Agt]+lla[Lim]+mi[Asrt]'], ['ka[AUX]+YkaA[Prog]+shun[Imp.1Pl.Inc]', 'ka[AUX]+YkaA[Prog]+shun[Fut][1Pl.Inc]'], ['ima[PRON]+ta[Obj]+pis(Pron.Indef)'], ['hana[N]+n[Poss.3]+man[Dat]'], ['maña[VTr]+kU[Refl/Mid]+na[Pot](N)+paq[Ben]'], ['ni[VTr]+yaA[VPl]+q[Hab]+mi[Asrt]', 'ni[VTr]+yaA[VPl]+q[1.Sbj][2.Obj]+mi[Asrt]', 'ni[VTr]+yaA[VPl]+q[Agt]+mi[Asrt]']]
