	TOKEN	MORPH	SEG_BME	LABEL
0	i	['I']	['U']	['CCONJ']
1	pishtaku	['pishtaku']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'F']	['N']
2	niyarqanmi	['ni', 'ya', 'rqa', 'n', 'mi']	['D', 'F', 'D', 'F', 'D', 'M', 'F', 'U', 'D', 'F']	['VTr', 'Pl', 'Pst', '3', 'Asrt']
3	tsaymi	['Tsay', 'mi']	['D', 'M', 'M', 'F', 'D', 'F']	['PRON', 'Asrt']
4	mantsayarqaa	['mantsa', 'ya', 'rqa', 'a']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Pl', 'Pst', '1']
5	wayiichaw	['Wayi', 'i', 'chaw']	['D', 'M', 'M', 'F', 'U', 'D', 'M', 'M', 'F']	['N', 'Poss.1Sg', 'Loc']
6	kaykaptiimi	['ka', 'yka', 'pti', 'i', 'mi']	['D', 'F', 'D', 'M', 'F', 'D', 'M', 'F', 'U', 'D', 'F']	['AUX', 'Prog', 'Cnv', 'Poss.1Sg', 'Asrt']
7	wiyarqaa	['wiya', 'rqa', 'a']	['D', 'M', 'M', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Pst', '1']
8	warmikuna	['warmi', 'kuna']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'F']	['N', 'Pl']
9	qapariqta	['qapari', 'q', 'ta']	['D', 'M', 'M', 'M', 'M', 'F', 'U', 'D', 'F']	['VInt', 'Agt', 'Obj']
10	rikaykaayaanaq	['rika', 'rika', 'rika', 'rika']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'D', 'M', 'M', 'F']	['VTr', 'Prog', 'Pl', 'Rpst']
11	i	['I']	['U']	['CCONJ']
12	nuqapis	['nuqa', 'pis']	['D', 'M', 'M', 'F', 'D', 'M', 'F']	['PRON.Prs', 'Coord']
13	qawarpurqaa	['qawa', 'rpu', 'rqa', 'a']	['D', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F', 'U']	['VTr', 'DirDown', 'Pst', '1']
14	siqsiqpampa	['Siqsiqpampa']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'F']	['PROPN']
15	chakintana	['chaki', 'n', 'ta', 'na']	['D', 'M', 'M', 'M', 'F', 'U', 'D', 'F', 'D', 'F']	['N', 'Poss.3', 'Obj', 'Acp']
16	tumaramunaq	['tuma', 'ra', 'mu', 'naq']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'F', 'D', 'M', 'F']	['VTr', 'Pct', 'Cis', 'Rpst']
17	atska	['atska']	['D', 'M', 'M', 'M', 'F']	['ADV']
18	putka	['putka']	['D', 'M', 'M', 'M', 'F']	['ADJ']
19	yaku	['yaku']	['D', 'M', 'M', 'F']	['N']
20	imatam	['Ima', 'ta', 'm']	['D', 'M', 'F', 'D', 'F', 'U']	['PRON', 'Obj', 'Asrt']
21	paniitapis	['pani', 'i', 'ta', 'pis']	['D', 'M', 'M', 'F', 'U', 'D', 'F', 'D', 'M', 'F']	['N', 'Poss.1Sg', 'Obj', 'Coord']
22	tarishaq	['tari', 'shaq']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'F']	['VTr', 'Fut.1']
23	nirninmi	['Ni', 'r', 'ni', 'n', 'mi']	['D', 'F', 'U', 'D', 'F', 'U', 'D', 'F']	['VTr', 'Cnv', 'Poss.3', 'Asrt']
24	aywayarqaa	['aywa', 'ya', 'rqa', 'a']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Pl', 'Pst', '1']
25	tsaymi	['Tsay', 'mi']	['D', 'M', 'M', 'F', 'D', 'F']	['PRON', 'Asrt']
26	nuqapis	['nuqa', 'pis']	['D', 'M', 'M', 'F', 'D', 'M', 'F']	['PRON.Prs', 'Coord']
27	aywarqaa	['aywa', 'rqa', 'a']	['D', 'M', 'M', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Pst', '1']
28	i	['i']	['U']	['CCONJ']
29	manam	['mana', 'm']	['D', 'M', 'M', 'F', 'U']	['ADV', 'Asrt']
30	ayataqa	['aya', 'ta', 'qa']	['D', 'M', 'F', 'D', 'F', 'D', 'F']	['N', 'Obj', 'Top']
31	tariyarqaatsu	['tari', 'ya', 'rqa', 'a', 'tsu']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U', 'D', 'M', 'F']	['VTr', 'Pl', 'Pst', '1', 'Neg']
32	qirukunallam	['Qiru', 'kuna', 'lla', 'm']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'D', 'M', 'F', 'U']	['N', 'Pl', 'Lim', 'Asrt']
33	llutaypa	['llutaypa']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'F']	['ADV']
34	karqan	['ka', 'rqa', 'n']	['D', 'F', 'D', 'M', 'F', 'U']	['AUX', 'Pst', '3']
35	i	['i']	['U']	['CCONJ']
36	shumaq	['shumaq']	['D', 'M', 'M', 'M', 'M', 'F']	['ADJ']
37	shumaq	['shumaq']	['D', 'M', 'M', 'M', 'M', 'F']	['ADJ']
38	shukshukunam	['shukshu', 'kuna', 'm']	['D', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'U']	['N', 'Pl', 'Asrt']
39	karqan	['ka', 'rqa', 'n']	['D', 'F', 'D', 'M', 'F', 'U']	['AUX', 'Pst', '3']
40	manam	['Mana', 'm']	['D', 'M', 'M', 'F', 'U']	['ADV', 'Asrt']
41	yuriyashqatsu	['yuri', 'ya', 'shqa', 'tsu']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'M', 'F', 'D', 'M', 'F']	['VInt', 'Pl', 'Prf', 'Neg']
42	i	['I']	['U']	['CCONJ']
43	waraschawqa	['Waras', 'chaw', 'qa']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'D', 'F']	['PROPN', 'Loc', 'Top']
44	trankilu	['trankilu']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'F']	['ADJ']
