TOKEN	MORPH	SEG_BME	LABEL
manam	['Mana', 'm']	['D', 'M', 'M', 'F', 'U']	['ADV', 'Asrt']
qunqayaqtsu	['qunqa', 'ya', 'q', 'tsu']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'U', 'D', 'M', 'F']	['VTr', 'Pl', 'Hab', 'Neg']
imaypis	['imay']	['D', 'M', 'M', 'F']	['PRON']
tsaypitaqa	['Tsay', 'pita', 'qa']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'D', 'F']	['PRON', 'Abl', 'Top']
mana	['mana']	['D', 'M', 'M', 'F']	['ADV']
mantsakushpa	['mantsa', 'ku', 'shpa']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'M', 'F']	['VTr', 'Refl/Mid', 'Grd']
hatun	['hatun']	['D', 'M', 'M', 'M', 'F']	['ADJ']
apukuna	['Apu', 'kuna']	['D', 'M', 'F', 'D', 'M', 'M', 'F']	['N', 'Pl']
wayinchaw	['wayi', 'n', 'chaw']	['D', 'M', 'M', 'F', 'U', 'D', 'M', 'M', 'F']	['N', 'Poss.3', 'Loc']
ashirnash	['ashi', 'r', 'na', 'sh']	['D', 'M', 'M', 'F', 'U', 'D', 'F', 'D', 'F']	['VTr', 'Cnv', 'Acp', 'Nfh']
qallakuykuyaanaq	['qalla', 'ku', 'yku', 'yaa', 'naq']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F']	['VTr', 'Refl/Mid', 'Intens', 'Pl', 'Rpst']
nawpa	['nawpa']	['D', 'M', 'M', 'M', 'F']	['N']
chawin	['Chawin']	['D', 'M', 'M', 'M', 'M', 'F']	['PROPN']
apukunapa	['Apu', 'kuna', 'pa']	['D', 'M', 'F', 'D', 'M', 'M', 'F', 'D', 'F']	['N', 'Pl', 'Gen']
wayintapis	['wayi', 'n', 'ta', 'pis']	['D', 'M', 'M', 'F', 'U', 'D', 'F', 'D', 'M', 'F']	['N', 'Poss.3', 'Obj', 'Coord']
huchur	['huchu', 'r']	['D', 'M', 'M', 'M', 'F', 'U']	['VInt', 'Cnv']
qallayaanaqshi	['qalla', 'yaa', 'naq', 'shi']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F']	['VTr', 'Pl', 'Rpst', 'Nfh']
tsaynaw	['Tsay', 'naw']	['D', 'M', 'M', 'F', 'D', 'M', 'F']	['PRON', 'Equ']
nirirnam	['ni', 'ri', 'r', 'na', 'm']	['D', 'F', 'D', 'F', 'U', 'D', 'F', 'U']	['VTr', 'Pct', 'Cnv', 'Acp', 'Asrt']
huk	['huk']	['D', 'M', 'F']	['DET']
wamrata	['wamra', 'ta']	['D', 'M', 'M', 'M', 'F', 'D', 'F']	['N', 'Obj']
tsariykur	['tsari', 'yku', 'r']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Intens', 'Cnv']
ruquriyta	['ruqu', 'ri', 'y', 'ta']	['D', 'M', 'M', 'F', 'D', 'F', 'U', 'D', 'F']	['VTr', 'Pct', 'Inf', 'Obj']
munarqan	['muna', 'rqa', 'n']	['D', 'M', 'M', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Pst', '3']
tayta	['Tayta']	['D', 'M', 'M', 'M', 'F']	['N']
amarunawmi	['Amaru', 'naw', 'mi']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'F']	['PROPN', 'Equ', 'Asrt']
kayan	['ka', 'ya', 'n']	['D', 'F', 'D', 'F', 'U']	['AUX', 'Pl', '3']
niyaqmi	['ni', 'ya', 'q', 'mi']	['D', 'F', 'D', 'F', 'U', 'D', 'F']	['VTr', 'Pl', 'Hab', 'Asrt']
mantsakashqa	['mantsaka', 'mantsaka']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'M', 'M', 'M', 'M', 'F']	['VInt', 'Prf']
runakuna	['runa', 'kuna']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'F']	['N', 'Pl']
apariq	['Apa', 'ri', 'q']	['D', 'M', 'F', 'D', 'F', 'U']	['VTr', 'Pct', 'Agt']
mitaqkuna	['mitaq', 'kuna']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'F']	['N', 'Pl']
waskakunawan	['waska', 'kuna', 'wan']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'D', 'M', 'F']	['N', 'Pl', 'Com']
qaratsa	['qaratsa']	['D', 'M', 'M', 'M', 'M', 'M', 'F']	['N']
