TOKEN	MORPH	SEG_BME	LABEL
i	['I']	['U']	['CCONJ']
pishtaku	['pishtaku']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'F']	['N']
niyarqanmi	['ni', 'ya', 'rqa', 'n', 'mi']	['D', 'F', 'D', 'F', 'D', 'M', 'F', 'U', 'D', 'F']	['VTr', 'Pl', 'Pst', '3', 'Asrt']
tsaymi	['Tsay', 'mi']	['D', 'M', 'M', 'F', 'D', 'F']	['PRON', 'Asrt']
mantsayarqaa	['mantsa', 'ya', 'rqa', 'a']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Pl', 'Pst', '1']
wayiichaw	['Wayi', 'i', 'chaw']	['D', 'M', 'M', 'F', 'U', 'D', 'M', 'M', 'F']	['N', 'Poss.1Sg', 'Loc']
kaykaptiimi	['ka', 'yka', 'pti', 'i', 'mi']	['D', 'F', 'D', 'M', 'F', 'D', 'M', 'F', 'U', 'D', 'F']	['AUX', 'Prog', 'Cnv', 'Poss.1Sg', 'Asrt']
wiyarqaa	['wiya', 'rqa', 'a']	['D', 'M', 'M', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Pst', '1']
warmikuna	['warmi', 'kuna']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'F']	['N', 'Pl']
qapariqta	['qapari', 'q', 'ta']	['D', 'M', 'M', 'M', 'M', 'F', 'U', 'D', 'F']	['VInt', 'Agt', 'Obj']
rikaykaayaanaq	['rika', 'rika', 'rika', 'rika']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'D', 'M', 'M', 'F']	['VTr', 'Prog', 'Pl', 'Rpst']
i	['I']	['U']	['CCONJ']
nuqapis	['nuqa', 'pis']	['D', 'M', 'M', 'F', 'D', 'M', 'F']	['PRON.Prs', 'Coord']
qawarpurqaa	['qawa', 'rpu', 'rqa', 'a']	['D', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F', 'U']	['VTr', 'DirDown', 'Pst', '1']
siqsiqpampa	['Siqsiqpampa']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'F']	['PROPN']
chakintana	['chaki', 'n', 'ta', 'na']	['D', 'M', 'M', 'M', 'F', 'U', 'D', 'F', 'D', 'F']	['N', 'Poss.3', 'Obj', 'Acp']
tumaramunaq	['tuma', 'ra', 'mu', 'naq']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'F', 'D', 'M', 'F']	['VTr', 'Pct', 'Cis', 'Rpst']
atska	['atska']	['D', 'M', 'M', 'M', 'F']	['ADV']
putka	['putka']	['D', 'M', 'M', 'M', 'F']	['ADJ']
yaku	['yaku']	['D', 'M', 'M', 'F']	['N']
imatam	['Ima', 'ta', 'm']	['D', 'M', 'F', 'D', 'F', 'U']	['PRON', 'Obj', 'Asrt']
paniitapis	['pani', 'i', 'ta', 'pis']	['D', 'M', 'M', 'F', 'U', 'D', 'F', 'D', 'M', 'F']	['N', 'Poss.1Sg', 'Obj', 'Coord']
tarishaq	['tari', 'shaq']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'F']	['VTr', 'Fut.1']
nirninmi	['Ni', 'r', 'ni', 'n', 'mi']	['D', 'F', 'U', 'D', 'F', 'U', 'D', 'F']	['VTr', 'Cnv', 'Poss.3', 'Asrt']
aywayarqaa	['aywa', 'ya', 'rqa', 'a']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Pl', 'Pst', '1']
tsaymi	['Tsay', 'mi']	['D', 'M', 'M', 'F', 'D', 'F']	['PRON', 'Asrt']
nuqapis	['nuqa', 'pis']	['D', 'M', 'M', 'F', 'D', 'M', 'F']	['PRON.Prs', 'Coord']
aywarqaa	['aywa', 'rqa', 'a']	['D', 'M', 'M', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Pst', '1']
i	['i']	['U']	['CCONJ']
manam	['mana', 'm']	['D', 'M', 'M', 'F', 'U']	['ADV', 'Asrt']
ayataqa	['aya', 'ta', 'qa']	['D', 'M', 'F', 'D', 'F', 'D', 'F']	['N', 'Obj', 'Top']
tariyarqaatsu	['tari', 'ya', 'rqa', 'a', 'tsu']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U', 'D', 'M', 'F']	['VTr', 'Pl', 'Pst', '1', 'Neg']
qirukunallam	['Qiru', 'kuna', 'lla', 'm']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'D', 'M', 'F', 'U']	['N', 'Pl', 'Lim', 'Asrt']
llutaypa	['llutaypa']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'F']	['ADV']
karqan	['ka', 'rqa', 'n']	['D', 'F', 'D', 'M', 'F', 'U']	['AUX', 'Pst', '3']
i	['i']	['U']	['CCONJ']
shumaq	['shumaq']	['D', 'M', 'M', 'M', 'M', 'F']	['ADJ']
shumaq	['shumaq']	['D', 'M', 'M', 'M', 'M', 'F']	['ADJ']
shukshukunam	['shukshu', 'kuna', 'm']	['D', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'U']	['N', 'Pl', 'Asrt']
karqan	['ka', 'rqa', 'n']	['D', 'F', 'D', 'M', 'F', 'U']	['AUX', 'Pst', '3']
manam	['Mana', 'm']	['D', 'M', 'M', 'F', 'U']	['ADV', 'Asrt']
